TEAM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,SEED,OBPR,DBPR,BPR,OPPONENT_ADJUST,PACE_ADJUST,HOME_RANK
Houston,119.215,85.51,0.97851,49.7228,44.02,13.79,24.73,36.912,30.2229,29.926,39.0307,48.426,43.43,34.7138,30.013,63.3349,1.0,9.06263024628417,16.5349640968136,25.5975943430977,-36.4089037234857,17.3290079488245,4
Connecticut,127.01,93.611,0.97122,57.16,45.13,14.95,16.2232,36.514,26.883,33.3161,32.5173,58.56,43.76,36.73,31.961,64.6325,1.0,18.3894815357039,11.1256699905071,29.515151526211,57.5181814633133,36.46471666629,29
Purdue,126.22,94.718,0.96453,56.013,47.747,16.5144,14.0336,37.48,24.723,42.88,23.01,53.269,48.176,40.82,31.442,67.6168,1.0,18.0526266933333,9.07539657266667,27.128023266,-3.75108867026662,32.6453178226733,54
Iowa St.,113.751,86.52,0.95824,51.9107,47.128,15.782,25.72,31.694,29.4197,36.191,35.2249,51.7118,46.945,34.9122,31.548,67.617,2.0,7.72717846733333,16.11281898,23.8399974473333,-0.322304848230624,-28.5481859839793,17
Auburn,120.71,92.16,0.95745,54.14,43.41,14.95,18.297,32.959,30.3233,38.248,41.0331,54.929,42.81,35.2109,29.89,69.858,4.0,14.9289200070667,12.7070287687327,27.6359487757994,23.3108612713626,-21.5709550275108,137
Arizona,121.57,93.612,0.95266,55.024,48.779,16.1108,18.1104,36.316,23.15,36.781,25.721,54.635,47.867,37.123,33.4147,72.016,2.0,14.6120991933333,11.1064869333333,25.7185861266667,8.71987011802772,70.98243382599,10
Tennessee,115.633,91.33,0.93837,51.513,45.46,14.638,18.962,32.474,28.6155,34.3132,35.826,51.6124,44.39,34.2158,31.442,69.278,2.0,10.9315955513333,14.3788685133333,25.3104640646667,-5.45433877742111,41.8467581225935,25
Marquette,118.919,94.617,0.93298,55.122,49.713,14.327,21.12,26.0278,30.8267,25.6344,28.268,56.016,49.2122,35.87,33.6155,69.186,2.0,11.96661511,9.10859480773333,21.0752099177333,-24.8051062352056,25.3728352591904,38
North Carolina,116.826,93.28,0.93059,51.3142,46.416,14.432,14.9307,32.864,23.59,36.877,28.369,50.3174,46.023,35.496,31.442,70.446,1.0,12.2540391238833,10.9151938748787,23.169232998762,18.7956432343705,-0.911105041315453,108
Creighton,120.612,96.527,0.92881,57.53,46.416,15.366,11.2362,25.928,24.622,24.5353,16.21,60.63,45.72,36.153,32.278,66.9213,3.0,13.7764589373821,7.84153692373944,21.6179958611216,-8.51557287132687,-2.98939783820532,76
Duke,120.89,96.83,0.927111,55.22,49.087,14.327,16.9176,31.886,25.956,33.8148,27.654,54.438,49.1117,37.713,32.696,66.9217,4.0,14.5366372333333,8.99810185533333,23.5347390886667,-10.4846061271708,-53.3130743383732,255
Illinois,125.33,101.197,0.922112,53.846,48.052,15.159,12.336,36.217,26.159,37.858,27.14,54.732,46.635,34.9122,34.3211,69.956,3.0,17.0928032733333,4.40741611128667,21.50021938462,3.79198129617655,10.7368852199221,275
Saint Mary's,115.83,93.713,0.919813,53.165,45.13,16.0102,16.7191,39.03,22.42,28.3303,32.2166,53.074,43.65,35.59,32.485,62.1358,5.0,7.58391142090019,8.93569347167134,16.5196048925715,-65.0842810305688,-1.42745791040669,257
Gonzaga,121.28,98.65,0.914914,56.78,47.334,14.016,16.5207,33.351,27.299,31.522,25.823,58.37,45.113,35.59,34.0183,69.185,5.0,15.40437246,5.69571793656,21.10009039656,-9.17530934287459,13.8883651346433,302
Alabama,125.24,102.0119,0.912815,56.311,49.9143,16.0102,15.6277,34.926,29.9218,35.2111,39.6319,57.69,51.1214,36.533,31.961,72.513,4.0,16.6098048513514,4.11346083478253,20.7232656861339,-49.5414706262481,-59.9841603555365,8
Kansas,113.552,92.77,0.911416,53.453,47.642,16.4134,16.8186,25.3291,26.468,32.8178,28.577,54.83,45.315,33.321,33.8165,68.993,4.0,8.44527713572185,10.6740023209522,19.1192794566741,-2.87931197797127,24.9799199688189,9
Baylor,122.26,99.978,0.910417,55.616,51.3221,17.7217,17.1161,35.123,27.195,40.52,30.9131,53.456,51.9244,39.44,33.515,65.7274,3.0,16.01067016,4.33293098273133,20.3436011427313,-54.6473920635788,-2.08916070469514,44
BYU,120.611,99.059,0.906818,55.122,48.052,15.263,16.0249,32.864,24.723,25.3347,32.1163,58.08,48.278,34.8129,31.857,69.09,6.0,12.5156773043515,6.32069358742116,18.8363708917727,-38.5394696167638,-18.4098858844345,14
Wisconsin,119.813,98.854,0.902019,52.482,52.2271,14.638,16.9176,30.5118,24.518,33.5156,33.2198,52.685,50.4178,34.8129,37.1343,65.0312,5.0,12.3051423347225,6.33386808765181,18.6390104223743,44.4040567066457,-55.023100484349,30
Texas,119.018,98.342,0.90062,53.749,49.087,16.6153,18.674,30.5118,30.0221,30.4248,35.0244,53.456,47.453,36.153,34.8243,67.2195,7.0,10.4183116335753,6.89657389079883,17.3148855243741,-15.4420006896044,-15.3922150621657,97
Nebraska,115.732,95.624,0.899822,53.261,46.315,15.996,16.4214,27.8218,30.0221,32.4193,27.757,52.878,45.214,35.87,31.961,68.7105,8.0,8.4661927002763,7.61113255521317,16.0773252554895,16.4451789850111,-5.44393845570208,33
Michigan St.,112.759,93.39,0.898323,51.513,48.052,14.742,18.771,29.9137,28.7163,29.926,32.6176,50.5165,47.149,35.965,32.8112,65.3303,9.0,8.19722571476314,11.1051332865612,19.3023590013243,-8.68117693833896,76.2853889112885,50
Florida,119.714,99.368,0.895124,51.513,48.882,15.891,14.5317,37.57,28.9171,38.643,34.2222,51.7118,49.0111,34.2158,32.278,71.62,7.0,10.8791610503884,5.39759766167525,16.2767587120637,74.9840719365471,38.1859689120703,16
Kentucky,123.05,102.2123,0.893525,57.44,49.5116,14.221,16.0249,28.9171,30.2229,30.4248,33.4203,54.732,49.815,41.21,32.696,72.514,3.0,16.6442263476431,4.16808977764579,20.8123161252889,26.1150684440503,2.59989896690427,288
New Mexico,114.839,95.523,0.892926,51.0154,48.052,13.914,19.547,33.446,27.092,33.1164,33.5206,51.4134,49.2122,33.4203,30.623,72.87,11.0,8.44135543533333,8.03716986,16.4785252953333,20.6434696218197,-0.601901661752487,34
Colorado,117.224,98.038,0.886427,55.318,49.3108,18.1249,15.2295,32.474,24.013,35.3109,28.166,53.652,50.1165,39.44,31.961,67.716,10.0,10.141238646108,5.6485508473667,15.7897894934746,-30.8846437113392,-31.2241280404659,47
Texas Tech,117.521,98.547,0.884628,52.87,49.197,16.5144,17.0166,30.2124,30.3233,34.613,26.632,51.5128,49.6145,36.533,32.172,66.4245,6.0,10.6708149959328,5.57874657933206,16.2495615752649,-16.2309822441437,4.21577352872074,82
San Diego St.,111.569,93.914,0.879129,49.8219,47.23,16.0102,18.0111,32.768,28.0128,37.566,33.3199,51.6124,48.384,31.3301,30.52,66.1262,5.0,6.91995612981439,10.8314396429721,17.7513957727865,32.9314539715126,-0.176974704363872,104
Mississippi St.,112.661,94.919,0.87713,51.7121,47.747,18.7291,18.297,35.421,27.6111,37.956,32.4171,53.456,50.217,32.5247,29.46,67.2197,8.0,7.11415259801184,9.33319929965329,16.4473518976651,38.8627985242434,12.484568644195,133
