rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Gonzaga,Gonzaga,17.134008312129,10.7270533999759,27.8610617121049,-14.181839965496,8.27143939761596,1,12,73.239592132,11,184,28,4,#FF9D23,#FFBB67,#FF9D23,#B7D7D6,#F0DEB3,Gonzaga plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Gonzaga performs at a similar level regardless of the pace of the game.
2,Houston,Houston,13.6614183035714,13.7037799440299,27.3651982476013,-9.46729683378177,11.4717000633853,8,2,65.6845946529333,333,12,32,6,#FFB14F,#FFA93D,#FF9F27,#CEE4D9,#F1DAB0,Houston performs at a similar level against both good and bad teams.,Houston performs at a similar level regardless of the pace of the game.
3,Kansas,Kansas,14.2257603011727,11.1325714998667,25.3583318010394,-3.53230183778317,59.1042379692574,6,10,70.711627607772,64,129,34,6,#FFAE48,#FFB961,#FFA637,#EDF5DD,#FAA781,Kansas performs at a similar level against both good and bad teams.,Kansas plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
4,Texas Tech,Texas Tech,8.69569058682819,15.5283499512605,24.2240405380887,-6.26719306746561,20.682138643373,29,1,68.0640184355071,220,3,27,10,#FFCD8F,#FF9D23,#FFAA40,#DFEDDB,#F2D0A7,Texas Tech performs at a similar level against both good and bad teams.,Texas Tech performs at a similar level regardless of the pace of the game.
5,Kentucky,Kentucky,15.0664872803501,8.93844959546124,24.0049368758114,17.0445809850155,33.49913194984,5,22,69.4514642634758,131,57,26,8,#FFA93D,#FFC780,#FFAB41,#FFB5A9,#F5C39B,Kentucky plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kentucky plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
6,Arizona,Arizona,14.1813776149824,9.34107593566655,23.5224535506489,-28.7615874948494,31.058435297353,7,16,73.2854209706667,9,172,33,4,#FFAE49,#FFC47A,#FFAD45,#7DACC9,#F4C59D,Arizona plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Arizona plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
7,Duke,Duke,16.8913262193497,6.18317508553438,23.0745013048841,-14.3492552415975,9.81816705165124,3,53,69.0511576656805,157,352,32,7,#FF9F26,#FFD8A7,#FFAE49,#B6D7D6,#F0DCB2,Duke plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Duke performs at a similar level regardless of the pace of the game.
8,Iowa,Iowa,16.9588748473258,5.6015763737675,22.5604512210933,5.56595928599627,59.2574192342419,2,62,71.2371988720333,48,122,26,10,#FF9E25,#FFDBAF,#FFB04D,#FFE6CE,#FAA781,Iowa performs at a similar level against both good and bad teams.,Iowa plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
9,Baylor,Baylor,12.9209048541078,9.13080944414649,22.0517142982543,-35.4249219518371,-73.7428451178766,9,20,68.7802289244415,177,81,27,7,#FFB559,#FFC57D,#FFB251,#6A97C1,#70A6C7,Baylor plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Baylor plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
10,Tennessee,Tennessee,8.35041096515216,13.381225232296,21.7316361974481,-46.4744963314318,-61.2785586782792,33,3,69.074361621539,155,38,27,8,#FFCF93,#FFAB41,#FFB353,#4675B3,#81AEC5,Tennessee plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Tennessee plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
