rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Connecticut,Connecticut 🔥,18.3894815357039,11.1256699905071,29.515151526211,57.5181814633133,36.46471666629,1,6,66.5186178325,322,1,29,1,0.911764705882353,0.294117647058824,31,10,31,3,#FF9D23,#FFBD6B,#FF9D23,#CB3A5B,#F7B992,Connecticut plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Connecticut plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
2,Auburn,Auburn,14.9289200070667,12.7070287687327,27.6359487757994,23.3108612713626,-21.5709550275108,8,4,70.98741757162,72,2,137,3,0.852941176470588,0.176470588235294,29,6,27,7,#FFB04C,#FFB456,#FFA431,#FFADA4,#BACBC0,Auburn plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Auburn plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
3,Purdue,Purdue 📉,18.0526266933333,9.07539657266667,27.128023266,-3.75108867026662,32.6453178226733,2,19,68.8198693445078,195,3,54,2,0.666666666666667,0.181818181818182,22,6,29,4,#FF9F27,#FFC986,#FFA535,#E5F1DC,#F6BE96,Purdue performs at a similar level against both good and bad teams.,Purdue plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
4,Arizona,Arizona 📉,14.6120991933333,11.1064869333333,25.7185861266667,8.71987011802772,70.98243382599,9,7,73.625500533,14,4,10,5,0.878787878787879,0.272727272727273,29,9,25,8,#FFB150,#FFBD6B,#FFAA3F,#FFE0C9,#FE926E,Arizona performs at a similar level against both good and bad teams.,Arizona plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
5,Houston,Houston 📉,9.06263024628417,16.5349640968136,25.5975943430977,-36.4089037234857,17.3290079488245,30,1,65.511461556,348,5,4,4,1.08823529411765,0.235294117647059,37,8,30,4,#FFCF92,#FF9D23,#FFAA40,#3E6FB1,#F2D1A8,Houston plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Houston performs at a similar level regardless of the pace of the game.
6,Tennessee,Tennessee,10.9315955513333,14.3788685133333,25.3104640646667,-5.45433877742111,41.8467581225935,20,3,70.2023586596853,104,6,25,6,0.5625,0.1875,18,6,24,8,#FFC57C,#FFAA40,#FFAB42,#DAEADB,#F8B28B,Tennessee performs at a similar level against both good and bad teams.,Tennessee plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
7,Iowa State,Iowa State 🔥,7.72717846733333,16.11281898,23.8399974473333,-0.322304848230624,-28.5481859839793,49,2,68.763788495492,199,7,17,10,0.909090909090909,0.242424242424242,30,8,27,7,#FFD6A2,#FFA029,#FFB04D,#FCFDDF,#A9C3C2,Iowa State performs at a similar level against both good and bad teams.,Iowa State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
8,Duke,Duke 🔒,14.5366372333333,8.99810185533333,23.5347390886667,-10.4846061271708,-53.3130743383732,10,20,68.433283142791,230,8,255,7,0.5625,0.1875,18,6,24,8,#FFB251,#FFCA87,#FFB14F,#B8D8D6,#70A6C7,Duke plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Duke plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
9,North Carolina,North Carolina,12.2540391238833,10.9151938748787,23.169232998762,18.7956432343705,-0.911105041315453,15,9,71.44949129931,53,9,108,12,0.794117647058823,0.235294117647059,27,8,27,7,#FFBE6C,#FFBE6E,#FFB252,#FFBDAF,#ECE5BC,North Carolina plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,North Carolina performs at a similar level regardless of the pace of the game.
10,Creighton,Creighton,13.7764589373821,7.84153692373944,21.6179958611216,-8.51557287132687,-2.98939783820532,11,25,68.6172902937275,214,10,76,16,0.84375,0.3125,27,10,23,9,#FFB65A,#FFD096,#FFB75E,#C5DFD8,#E7E3BC,Creighton performs at a similar level against both good and bad teams.,Creighton performs at a similar level regardless of the pace of the game.
11,Illinois,Illinois,17.0928032733333,4.40741611128667,21.50021938462,3.79198129617655,10.7368852199221,3,77,70.8889288751336,77,11,275,14,0.647058823529412,0.264705882352941,22,9,26,8,#FFA432,#FFE5C4,#FFB85F,#FFF1D6,#F1D9AF,Illinois performs at a similar level against both good and bad teams.,Illinois performs at a similar level regardless of the pace of the game.
12,Gonzaga,Gonzaga,15.40437246,5.69571793656,21.10009039656,-9.17530934287459,13.8883651346433,7,48,70.485395692068,95,12,302,15,1.03225806451613,0.193548387096774,32,6,24,7,#FFAD47,#FFDDB3,#FFB962,#C1DDD7,#F2D5AC,Gonzaga performs at a similar level against both good and bad teams.,Gonzaga performs at a similar level regardless of the pace of the game.
13,Marquette,Marquette,11.96661511,9.10859480773333,21.0752099177333,-24.8051062352056,25.3728352591904,17,18,70.570810068385,91,16,38,8,0.852941176470588,0.294117647058824,29,10,25,9,#FFBF70,#FFC986,#FFB962,#719FC4,#F4C79E,Marquette plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Marquette plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
14,Kentucky,Kentucky 🔥,16.6442263476431,4.16808977764579,20.8123161252889,26.1150684440503,2.59989896690427,4,82,73.715397939,11,13,288,9,0.625,0.28125,20,9,23,9,#FFA738,#FFE6C7,#FFBA64,#FEA39D,#EFE3B9,Kentucky plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kentucky performs at a similar level regardless of the pace of the game.
15,Alabama,Alabama 🥶,16.6098048513514,4.11346083478253,20.7232656861339,-49.5414706262481,-59.9841603555365,5,83,74.3779895,5,14,8,11,0.78125,0.4375,25,14,21,11,#FFA738,#FFE6C8,#FFBA64,#00429D,#70A6C7,Alabama plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Alabama plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
16,Baylor,Baylor,16.01067016,4.33293098273133,20.3436011427313,-54.6473920635788,-2.08916070469514,6,80,67.09680623291,301,15,44,17,0.65625,0.28125,21,9,22,10,#FFAA3F,#FFE5C5,#FFBC67,#00429D,#E9E4BC,Baylor plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Baylor performs at a similar level regardless of the pace of the game.
17,Michigan State,Michigan State,8.19722571476314,11.1051332865612,19.3023590013243,-8.68117693833896,76.2853889112885,43,8,66.96381794387,306,17,50,20,0.625,0.125,20,4,19,14,#FFD39D,#FFBD6B,#FFBF6F,#C4DED8,#FE926E,Michigan State performs at a similar level against both good and bad teams.,Michigan State plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
18,Kansas,Kansas 🥶,8.44527713572185,10.6740023209522,19.1192794566741,-2.87931197797127,24.9799199688189,38,11,70.314852517092,98,34,9,19,0.483870967741935,0.419354838709677,15,13,21,10,#FFD29A,#FFC071,#FFC070,#EBF4DD,#F4C79F,Kansas performs at a similar level against both good and bad teams.,Kansas plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
19,BYU,BYU 📉,12.5156773043515,6.32069358742116,18.8363708917727,-38.5394696167638,-18.4098858844345,12,41,70.801142057431,82,19,14,13,0.870967741935484,0.290322580645161,27,9,23,10,#FFBC69,#FFD9AB,#FFC172,#3267AD,#C1CFBF,BYU plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,BYU plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
20,Wisconsin,Wisconsin 🔥,12.3051423347225,6.33386808765181,18.6390104223743,44.4040567066457,-55.023100484349,14,39,66.5432322905,320,18,30,29,0.457142857142857,0.2,16,7,22,13,#FFBE6C,#FFD9AA,#FFC174,#E66474,#70A6C7,Wisconsin plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Wisconsin plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
21,San Diego State,San Diego State 🔒,6.91995612981439,10.8314396429721,17.7513957727865,32.9314539715126,-0.176974704363872,58,10,67.602175719596,272,20,104,36,0.65625,0.15625,21,5,22,10,#FFDAAC,#FFBF6F,#FFC47A,#F58C8E,#EEE6BC,San Diego State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,San Diego State performs at a similar level regardless of the pace of the game.
22,Texas,Texas,10.4183116335753,6.89657389079883,17.3148855243741,-15.4420006896044,-15.3922150621657,23,32,69.3492848676841,159,21,97,18,0.8125,0.375,26,12,20,12,#FFC882,#FFD6A3,#FFC67E,#96C6D2,#C9D3BF,Texas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Texas performs at a similar level regardless of the pace of the game.
23,Saint Mary's,Saint Mary's 📈,7.58391142090019,8.93569347167134,16.5196048925715,-65.0842810305688,-1.42745791040669,50,21,63.690414469,359,23,257,28,0.903225806451613,0.258064516129032,28,8,24,7,#FFD6A4,#FFCA88,#FFC884,#00429D,#EBE5BC,Saint Mary's plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Saint Mary's performs at a similar level regardless of the pace of the game.
24,New Mexico,New Mexico,8.44135543533333,8.03716986,16.4785252953333,20.6434696218197,-0.601901661752487,39,24,74.06013658,7,22,34,21,0.606060606060606,0.181818181818182,20,6,25,9,#FFD29A,#FFCF94,#FFC884,#FFB6AB,#EDE6BC,New Mexico plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,New Mexico performs at a similar level regardless of the pace of the game.
25,Mississippi State,Mississippi State,7.11415259801184,9.33319929965329,16.4473518976651,38.8627985242434,12.484568644195,55,15,68.4363751152515,228,29,133,24,0.411764705882353,0.235294117647059,14,8,21,13,#FFD9AA,#FFC883,#FFC884,#ED7781,#F1D7AD,Mississippi State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Mississippi State performs at a similar level regardless of the pace of the game.
26,Florida,Florida 🔒,10.8791610503884,5.39759766167525,16.2767587120637,74.9840719365471,38.1859689120703,21,55,73.558072069,16,24,16,39,0.428571428571429,0.228571428571429,15,8,24,11,#FFC57D,#FFDFB7,#FFC985,#99063D,#F7B790,Florida plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Florida plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
27,Texas Tech,Texas Tech,10.6708149959328,5.57874657933206,16.2495615752649,-16.2309822441437,4.21577352872074,22,50,67.7551157560189,264,33,82,33,0.333333333333333,0.606060606060606,11,20,23,10,#FFC67F,#FFDEB4,#FFC986,#92C2D1,#EFE1B7,Texas Tech plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Texas Tech performs at a similar level regardless of the pace of the game.
28,Florida Atlantic,Florida Atlantic 📉,12.3136266719417,3.90923843665047,16.2228651085922,36.7198418115565,5.04791644497854,13,91,69.7026058318124,135,26,45,26,0.65625,0.34375,21,11,25,8,#FFBE6B,#FFE8CB,#FFC986,#F07F85,#F0E0B6,Florida Atlantic plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Florida Atlantic performs at a similar level regardless of the pace of the game.
29,Saint John's,Saint John's,11.3395596306667,4.84899854477333,16.18855817544,0.768924320862545,-13.7203927834915,18,67,70.742223988397,85,25,143,30,0.818181818181818,0.333333333333333,27,11,20,13,#FFC377,#FFE2BE,#FFC986,#FFFCDE,#CDD5BE,Saint John's performs at a similar level against both good and bad teams.,Saint John's performs at a similar level regardless of the pace of the game.
30,Nebraska,Nebraska 🔥,8.4661927002763,7.61113255521317,16.0773252554895,16.4451789850111,-5.44393845570208,37,28,70.0795741235226,113,31,33,31,0.696969696969697,0.303030303030303,23,10,23,10,#FFD299,#FFD299,#FFCA87,#FFC5B5,#E1E0BD,Nebraska plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Nebraska performs at a similar level regardless of the pace of the game.
31,Villanova,Villanova,6.74789722360084,9.27676483398344,16.0246620575843,-8.6453221816444,9.27598878891531,60,16,64.998812763,352,27,43,27,0.71875,0.6875,23,22,18,15,#FFDBAE,#FFC883,#FFCA87,#C4DFD8,#F1DBB1,Villanova performs at a similar level against both good and bad teams.,Villanova performs at a similar level regardless of the pace of the game.
32,Colorado,Colorado,10.141238646108,5.6485508473667,15.7897894934746,-30.8846437113392,-31.2241280404659,25,49,69.1960010725181,170,30,47,25,0.666666666666667,0.424242424242424,22,14,24,10,#FFC985,#FFDDB3,#FFCB89,#5A85BA,#A2BFC2,Colorado plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Colorado plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
33,Ohio State,Ohio State 🔥,8.89485706533333,6.76726318604667,15.66212025138,0.0204970751420449,42.5756316875843,34,33,67.390012757532,282,28,91,47,0.575757575757576,0.242424242424242,19,8,20,13,#FFD094,#FFD7A5,#FFCB8A,#FFFEDF,#F8B18A,Ohio State performs at a similar level against both good and bad teams.,Ohio State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
34,Wake Forest,Wake Forest,11.0212906786588,4.47458685943713,15.495877538096,27.6232327310985,6.29343004883103,19,72,69.0915316189542,174,38,7,23,0.575757575757576,0.333333333333333,19,11,20,13,#FFC47B,#FFE4C3,#FFCC8B,#FC9E99,#F0DFB4,Wake Forest plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Wake Forest performs at a similar level regardless of the pace of the game.
35,TCU,TCU,8.07134043197644,7.25638186557232,15.3277222975488,-10.7922526204498,16.8608337468856,44,29,70.941315243816,74,32,201,22,0.727272727272727,0.424242424242424,24,14,21,12,#FFD49E,#FFD49E,#FFCC8C,#B6D7D6,#F2D1A8,TCU plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,TCU performs at a similar level regardless of the pace of the game.
36,Cincinnati,Cincinnati,5.82699551258867,9.24889161666667,15.0758871292553,10.5211236470534,32.5254392174572,70,17,68.9639289730805,184,36,110,32,0.588235294117647,0.441176470588235,20,15,20,14,#FFE0B9,#FFC884,#FFCD8E,#FFDAC5,#F6BE96,Cincinnati performs at a similar level against both good and bad teams.,Cincinnati plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
37,Texas A&M,Texas A&M,8.58098558266667,6.13543971376667,14.7164252964333,10.7496466262224,-22.6513703196794,35,43,67.41718577545,279,35,303,38,0.575757575757576,0.242424242424242,19,8,20,14,#FFD198,#FFDAAD,#FFCE91,#FFD9C4,#B7CAC0,Texas A&M performs at a similar level against both good and bad teams.,Texas A&M plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
38,Clemson,Clemson 🥶,9.63255538724793,4.46575120286,14.0983065901079,37.7875704596934,35.1310339840605,28,75,67.9352566500328,256,37,175,37,0.5,0.25,16,8,21,11,#FFCC8B,#FFE4C3,#FFD096,#EF7B83,#F6BA93,Clemson plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Clemson plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
39,Washington State,Washington State,6.117982138158,7.68347158555333,13.8014537237113,30.191582377062,14.8505950904147,67,27,66.81447859879,312,39,88,61,0.636363636363636,0.242424242424242,21,8,24,9,#FFDEB5,#FFD198,#FFD198,#F99594,#F2D4AA,Washington State plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Washington State performs at a similar level regardless of the pace of the game.
