TEAM,ADJ_SQ,O_SQ,D_SQ,RIM_AND_3_RATE,YEAR
Gonzaga,0.4,1.29,0.89,0.8554707379,2021
Baylor,0.35,1.23,0.87,0.8038176034,2021
Iowa,0.3,1.29,0.99,0.7848036716,2021
Illinois,0.3,1.19,0.89,0.7833974711,2021
Tennessee,0.3,1.14,0.84,0.7067524116,2021
Michigan,0.29,1.2,0.91,0.7678347935,2021
Colorado,0.28,1.18,0.9,0.7290748899,2021
Creighton,0.27,1.19,0.92,0.813104189,2021
Villanova,0.25,1.19,0.94,0.801384083,2021
Virginia,0.25,1.15,0.91,0.766214178,2021
Penn St.,0.25,1.19,0.94,0.7567221511,2021
Houston,0.25,1.21,0.96,0.7161874334,2021
Virginia Tech,0.24,1.17,0.93,0.7879032258,2021
Arkansas,0.24,1.15,0.91,0.7667793337,2021
San Diego St.,0.24,1.14,0.9,0.7355425601,2021
USC,0.24,1.19,0.96,0.7047470005,2021
Connecticut,0.23,1.18,0.95,0.757925072,2021
Wisconsin,0.23,1.14,0.9,0.7275747508,2021
Arizona,0.23,1.18,0.96,0.7231903485,2021
Texas Tech,0.23,1.13,0.91,0.7129186603,2021
West Virginia,0.23,1.2,0.97,0.6965978806,2021
Texas,0.22,1.17,0.95,0.8228829994,2021
Loyola Chicago,0.22,1.12,0.9,0.8217105263,2021
Oklahoma,0.22,1.19,0.96,0.7509202454,2021
LSU,0.22,1.21,0.98,0.7454744926,2021
Alabama,0.21,1.13,0.92,0.9228235294,2021
Memphis,0.21,1.07,0.86,0.7886815172,2021
Purdue,0.21,1.15,0.94,0.7764558547,2021
North Carolina,0.21,1.13,0.93,0.7185104053,2021
UCLA,0.21,1.18,0.96,0.6641509434,2021
Georgia Tech,0.2,1.14,0.93,0.7772637145,2021
Duke,0.2,1.16,0.95,0.7748478702,2021
Kansas,0.2,1.13,0.93,0.7741566609,2021
Ohio St.,0.2,1.2,1.0,0.7530795073,2021
Oregon,0.19,1.14,0.95,0.7966101695,2021
Utah,0.19,1.14,0.95,0.7811158798,2021
Saint Louis,0.19,1.11,0.92,0.7462568952,2021
Oregon St.,0.19,1.17,0.98,0.7105855856,2021
Michigan St.,0.19,1.14,0.95,0.674617737,2021
Seton Hall,0.18,1.11,0.93,0.8196721311,2021
Maryland,0.18,1.11,0.92,0.7896399242,2021
Florida St.,0.18,1.12,0.95,0.7734428474,2021
BYU,0.18,1.13,0.96,0.7553675992,2021
Kentucky,0.18,1.09,0.91,0.6788617886,2021
Butler,0.17,1.1,0.93,0.7717157215,2021
Rutgers,0.17,1.1,0.93,0.76937046,2021
Utah St.,0.17,1.07,0.89,0.7622169249,2021
Mississippi St.,0.17,1.09,0.92,0.7015005359,2021
Mississippi,0.17,1.06,0.89,0.6893509767,2021
Colgate,0.16,1.18,1.03,0.8646766169,2021
Indiana,0.16,1.08,0.92,0.7801324503,2021
Clemson,0.16,1.06,0.89,0.7588813303,2021
Minnesota,0.16,1.14,0.98,0.737458194,2021
Oklahoma St.,0.15,1.1,0.95,0.8353932584,2021
Wichita St.,0.15,1.14,0.98,0.8011894647,2021
Richmond,0.15,1.13,0.98,0.7619047619,2021
N.C. State,0.15,1.1,0.95,0.7557894737,2021
Xavier,0.15,1.12,0.97,0.7509727626,2021
Florida,0.15,1.13,0.97,0.7434257285,2021
Syracuse,0.15,1.15,0.99,0.7229488704,2021
Arizona St.,0.15,1.13,0.98,0.7062706271,2021
Missouri,0.14,1.08,0.94,0.8403473614,2021
Stanford,0.14,1.07,0.92,0.8151950719,2021
Notre Dame,0.14,1.1,0.96,0.8018931711,2021
Auburn,0.13,1.11,0.97,0.85995086,2021
Davidson,0.13,1.13,1.01,0.8448125545,2021
Providence,0.13,1.1,0.97,0.7560497057,2021
UC Santa Barbara,0.13,1.07,0.93,0.7525179856,2021
St. John's,0.13,1.1,0.96,0.748853211,2021
Drake,0.13,1.13,1.0,0.7152698048,2021
Louisville,0.13,1.12,1.0,0.6989528796,2021
VCU,0.12,1.06,0.94,0.8534246575,2021
St. Bonaventure,0.12,1.13,1.0,0.7745098039,2021
California,0.12,1.1,0.98,0.7518644068,2021
Western Kentucky,0.12,1.08,0.96,0.7510703364,2021
Northwestern,0.12,1.06,0.94,0.7269984917,2021
Colorado St.,0.11,1.09,0.98,0.837890625,2021
Pittsburgh,0.11,1.11,1.0,0.7763055339,2021
Boise St.,0.11,1.06,0.95,0.7366071429,2021
Georgetown,0.11,1.09,0.97,0.7192636423,2021
San Francisco,0.1,1.07,0.97,0.868473232,2021
Georgia,0.1,1.06,0.97,0.8588082902,2021
Vanderbilt,0.1,1.06,0.97,0.8460451977,2021
Saint Mary's,0.1,1.06,0.96,0.8406015038,2021
Massachusetts,0.1,1.11,1.01,0.8184782609,2021
SMU,0.1,1.07,0.97,0.8128128128,2021
North Texas,0.1,1.05,0.95,0.7456687457,2021
Marquette,0.09,1.08,0.99,0.7506738544,2021
Loyola Marymount,0.08,1.06,0.98,0.8448125545,2021
Boston College,0.08,1.06,0.98,0.8364249578,2021
Nebraska,0.08,1.06,0.97,0.8339869281,2021
Toledo,0.08,1.15,1.07,0.8320855615,2021
Cincinnati,0.08,1.04,0.96,0.8259895444,2021
Dayton,0.08,1.05,0.97,0.8153225806,2021
UCF,0.08,1.07,0.99,0.7670364501,2021
Pacific,0.08,1.04,0.96,0.7504873294,2021
UAB,0.08,1.02,0.94,0.6869943995,2021
East Carolina,0.08,1.07,0.99,0.6663424125,2021
UC Irvine,0.08,1.02,0.94,0.6507503411,2021
Akron,0.07,1.09,1.03,0.8431372549,2021
Temple,0.07,1.02,0.95,0.7258064516,2021
Pepperdine,0.07,1.07,1.0,0.703030303,2021
Ohio,0.06,1.08,1.02,0.8344827586,2021
Tulsa,0.06,1.01,0.96,0.8226890756,2021
Washington St.,0.06,1.01,0.95,0.8141650422,2021
Louisiana Tech,0.06,1.0,0.95,0.8119419643,2021
Rhode Island,0.06,1.06,1.0,0.7987465181,2021
Kansas St.,0.06,1.03,0.97,0.7917485265,2021
Missouri St.,0.06,1.08,1.02,0.787654321,2021
Winthrop,0.06,1.05,1.0,0.7486910995,2021
George Mason,0.06,1.02,0.95,0.7428571429,2021
Nevada,0.06,1.05,0.99,0.7346348518,2021
South Carolina,0.06,1.01,0.95,0.7258064516,2021
Belmont,0.05,1.06,1.01,0.8856981982,2021
Liberty,0.05,1.06,1.02,0.8581925055,2021
Grand Canyon,0.05,1.05,0.99,0.7829059829,2021
Duquesne,0.05,1.06,1.01,0.775,2021
UNC Greensboro,0.05,1.06,1.01,0.770609319,2021
Miami FL,0.05,1.05,1.0,0.7559055118,2021
Marshall,0.05,1.05,1.01,0.7550724638,2021
UNLV,0.05,1.04,0.99,0.7368421053,2021
Navy,0.05,1.05,1.0,0.6925287356,2021
UTSA,0.05,1.07,1.02,0.6906628653,2021
Furman,0.04,1.1,1.07,0.9019157088,2021
Buffalo,0.04,1.04,1.0,0.8410513141,2021
Wright St.,0.04,1.06,1.02,0.8191706322,2021
South Dakota St.,0.04,1.1,1.06,0.8123003195,2021
Wake Forest,0.04,1.03,0.99,0.8112724167,2021
Seattle,0.04,1.05,1.01,0.7804255319,2021
Eastern Washington,0.04,1.09,1.06,0.77827051,2021
TCU,0.04,1.02,0.97,0.7745098039,2021
Tulane,0.04,0.99,0.95,0.7572892041,2021
Lafayette,0.04,1.11,1.07,0.7015086207,2021
Wofford,0.03,1.13,1.1,0.8731942215,2021
Vermont,0.03,1.03,1.0,0.8321256039,2021
Kent St.,0.03,1.09,1.06,0.8285291944,2021
Abilene Christian,0.03,1.04,1.02,0.8273769386,2021
Mercer,0.03,1.08,1.05,0.8162475822,2021
Stephen F. Austin,0.03,1.09,1.06,0.8101898102,2021
Oral Roberts,0.03,1.13,1.1,0.7988686361,2021
Bowling Green,0.03,1.09,1.06,0.7839135654,2021
UC Riverside,0.03,1.0,0.97,0.78125,2021
UTEP,0.03,1.02,0.99,0.7286885246,2021
Southern Utah,0.02,1.12,1.1,0.8279857398,2021
Drexel,0.02,1.02,1.01,0.7363636364,2021
Army,0.01,1.04,1.03,0.8570254725,2021
Santa Clara,0.01,1.01,1.0,0.7861163227,2021
Northern Iowa,0.01,1.05,1.04,0.7757712566,2021
East Tennessee St.,0.01,1.07,1.06,0.767925983,2021
Weber St.,0.01,1.1,1.09,0.7625,2021
Iona,0.01,0.98,0.97,0.7603960396,2021
DePaul,0.01,1.0,0.99,0.7270363951,2021
Florida Atlantic,0.0,1.0,1.0,0.8265947889,2021
Murray St.,0.0,1.0,1.0,0.824005891,2021
Hofstra,0.0,1.06,1.07,0.7861400894,2021
Washington,0.0,1.02,1.03,0.736946464,2021
Wyoming,-0.01,1.05,1.06,0.8974358974,2021
Texas A&M,-0.01,0.98,0.99,0.8219461698,2021
Albany,-0.01,1.01,1.03,0.818799547,2021
San Diego,-0.01,0.95,0.96,0.7532467532,2021
Georgia St.,-0.01,1.07,1.08,0.7142857143,2021
South Florida,-0.01,1.0,1.0,0.7115702479,2021
Bellarmine,-0.01,1.03,1.03,0.6811989101,2021
New Mexico St.,-0.02,1.02,1.04,0.8578784758,2021
James Madison,-0.02,1.04,1.05,0.8257804632,2021
VMI,-0.02,1.12,1.15,0.8197718631,2021
LIU,-0.02,1.03,1.05,0.8077922078,2021
UMBC,-0.02,0.99,1.01,0.7989080983,2021
Sam Houston St.,-0.02,1.07,1.09,0.7843003413,2021
